hostname,ip,os,ram_gb,department
email-88.thompson-smith.com,174.42.42.35,CentOS,8,Finance
web-61.thompson.com,26.157.141.190,Windows Server,2,Sales
lt-40.gibson.com,120.197.41.105,Windows Server,8,HR
db-34.brock-hunt.com,189.72.34.13,Ubuntu,4,Sales
web-79.smith-nelson.net,36.2.105.140,Ubuntu,4,IT
srv-11.fox.info,202.5.181.212,Ubuntu,32,HR
db-28.jackson-mendoza.com,217.247.198.75,CentOS,16,Finance
email-14.bernard.com,76.87.77.133,Debian,32,IT
db-59.powell.com,139.190.128.239,CentOS,32,Sales
laptop-93.martinez.biz,36.94.132.30,Windows Server,16,Finance
lt-64.nicholson.com,53.21.101.124,Ubuntu,2,HR
web-62.thompson-mann.com,223.186.9.55,Ubuntu,4,Finance
web-35.forbes.com,94.223.233.202,Windows Server,8,HR
email-81.summers-murray.org,72.254.102.87,Ubuntu,32,Finance
desktop-51.cook-callahan.net,5.205.139.182,Windows Server,2,HR
db-11.patton-galloway.net,47.235.84.165,CentOS,8,IT
email-41.nelson.com,92.72.192.0,Debian,8,Finance
db-89.golden.com,220.91.138.54,Windows Server,2,HR
desktop-95.dean.com,144.194.149.161,CentOS,32,Finance
srv-39.barnes.com,49.10.167.123,Debian,16,Sales
laptop-43.cannon.com,114.203.203.203,Ubuntu,2,Sales
srv-90.krause-ross.com,120.157.34.214,Ubuntu,4,Finance
web-57.gill.info,36.195.110.14,Windows Server,8,Finance
laptop-02.archer-simpson.biz,197.116.1.236,Debian,2,Sales
lt-76.gomez.com,105.159.127.76,CentOS,8,IT
db-11.orr.biz,38.151.24.89,CentOS,2,Finance
web-53.golden-parks.com,9.252.196.178,CentOS,32,IT
srv-23.fuller.net,53.85.90.221,Windows Server,4,Finance
lt-49.salinas-keller.net,108.113.187.147,Debian,2,IT
laptop-30.burke.com,52.229.132.32,Ubuntu,8,HR
email-78.davis.com,115.210.74.142,Debian,16,Finance
web-35.bowman.org,12.163.208.212,Debian,2,HR
desktop-38.garcia.org,46.27.173.191,Windows Server,8,Sales
srv-38.miller.com,192.253.57.86,Ubuntu,2,Sales
lt-31.oliver-morales.com,222.139.253.190,Ubuntu,2,IT
lt-74.ramsey.com,36.123.0.240,Windows Server,4,IT
srv-27.webster-wright.com,169.119.175.110,CentOS,2,Sales
email-98.garcia.com,11.125.52.104,Windows Server,8,IT
laptop-36.mccoy.com,62.89.212.148,Windows Server,32,HR
lt-01.baldwin.net,37.144.233.103,CentOS,32,Sales
email-72.santos.biz,218.70.193.66,Windows Server,32,IT
desktop-13.davis.com,186.85.57.231,CentOS,16,Sales
desktop-10.hooper-white.org,159.223.221.196,Debian,16,IT
email-50.dominguez-boyle.biz,20.44.102.190,Ubuntu,4,Sales
laptop-33.moore.com,160.236.105.8,CentOS,16,Finance
desktop-67.holloway.com,201.216.104.206,Windows Server,16,Sales
email-52.nolan.org,93.116.4.13,CentOS,8,Sales
email-37.preston.com,60.76.87.22,CentOS,16,Finance
web-39.johnson-perkins.com,60.154.176.5,Debian,2,Finance
desktop-77.baxter.biz,111.188.83.38,Debian,32,IT
